district,date,value
NPL001,2015-10-01,55.0572
NPL001,2015-11-01,16.1977
NPL001,2015-12-01,13.226
NPL001,2016-01-01,25.2172
NPL001,2016-02-01,15.9244
NPL001,2016-03-01,46.0531
NPL001,2016-04-01,81.1051
NPL001,2016-05-01,132.6202
NPL001,2016-06-01,297.1567
NPL001,2016-07-01,306.1265
NPL001,2016-08-01,228.1571
NPL001,2016-09-01,372.2335
NPL001,2016-10-01,97.49
NPL001,2016-11-01,6.8859
NPL001,2016-12-01,3.9915
NPL001,2017-01-01,21.4013
NPL001,2017-02-01,6.4024
NPL001,2017-03-01,84.3267
NPL001,2017-04-01,73.9056
NPL001,2017-05-01,163.659
NPL001,2017-06-01,187.4587
NPL001,2017-07-01,266.1991
NPL001,2017-08-01,279.8123
NPL001,2017-09-01,188.1437
NPL001,2017-10-01,85.2582
NPL001,2017-11-01,10.6001
NPL001,2017-12-01,0.5807
NPL001,2018-01-01,3.04
NPL001,2018-02-01,7.176
NPL001,2018-03-01,40.9131
NPL001,2018-04-01,244.0239
NPL001,2018-05-01,132.96
NPL001,2018-06-01,152.9736
NPL001,2018-07-01,305.6854
NPL001,2018-08-01,300.9659
NPL001,2018-09-01,166.3475
NPL001,2018-10-01,57.6035
NPL001,2018-11-01,24.4263
NPL001,2018-12-01,11.8404
NPL001,2019-01-01,15.5697
NPL001,2019-02-01,44.1319
NPL001,2019-03-01,34.4711
NPL001,2019-04-01,107.2936
NPL001,2019-05-01,182.6591
NPL001,2019-06-01,123.7017
NPL001,2019-07-01,429.618
NPL001,2019-08-01,194.4073
NPL001,2019-09-01,265.3347
NPL001,2019-10-01,18.2008
NPL001,2019-11-01,22.9792
NPL001,2019-12-01,15.4216
NPL001,2020-01-01,34.9833
NPL001,2020-02-01,23.0638
NPL001,2020-03-01,50.1562
NPL001,2020-04-01,99.6977
NPL001,2020-05-01,156.8466
NPL001,2020-06-01,182.9192
NPL001,2020-07-01,269.2926
NPL001,2020-08-01,255.6465
NPL001,2020-09-01,240.174
NPL001,2020-10-01,30.4902
NPL001,2020-11-01,9.2111
NPL002,1979-02-01,26.3535
NPL002,1979-03-01,6.4393
NPL002,1979-04-01,108.8934
NPL002,1979-05-01,85.898
NPL002,1979-06-01,185.1157
NPL002,1979-07-01,593.5228
NPL002,1979-08-01,301.8436
NPL002,1979-09-01,129.8165
NPL002,1979-10-01,132.7638
NPL002,1979-11-01,36.3637
NPL002,1979-12-01,19.0557
NPL002,1980-01-01,5.895
NPL002,1980-02-01,28.5203
NPL002,1980-03-01,43.7681
NPL002,1980-04-01,35.0278
NPL002,1980-05-01,193.1447
NPL002,1980-06-01,420.0569
NPL002,1980-07-01,573.3332
NPL002,1980-08-01,458.9727
NPL002,1980-09-01,134.9207
NPL002,1980-10-01,61.1299
NPL002,1980-11-01,10.5563
NPL002,1980-12-01,6.7222
NPL002,1981-01-01,59.0206
NPL002,1981-02-01,10.5124
NPL002,1981-03-01,79.0394
NPL002,1981-04-01,157.2157
NPL002,1981-05-01,230.3365
NPL002,1981-06-01,274.3586
NPL002,1981-07-01,437.7159
NPL002,1981-08-01,384.4
NPL002,1981-09-01,355.7417
NPL002,1981-10-01,33.0234
NPL002,1981-11-01,8.7159
NPL002,1981-12-01,8.5991
NPL002,1982-01-01,17.5323
NPL002,1982-02-01,26.4484
NPL002,1982-03-01,40.6513
NPL002,1982-04-01,103.6761
NPL002,1982-05-01,73.0025
NPL002,1982-06-01,233.3433
NPL002,1982-07-01,403.1105
NPL002,1982-08-01,452.5724
NPL002,1982-09-01,158.7349
NPL002,1982-10-01,41.4889
NPL002,1982-11-01,43.954
NPL002,1982-12-01,14.5194
NPL002,1983-01-01,21.0271
NPL002,1983-02-01,22.0649
NPL002,1983-03-01,16.0893
NPL002,1983-04-01,88.9706
NPL002,1983-05-01,188.4483
NPL002,1983-06-01,224.6779
NPL002,1983-07-01,336.7551
NPL002,1983-08-01,260.4461
NPL002,1983-09-01,209.6126
NPL002,1983-10-01,124.0483
NPL002,1983-11-01,12.1561
NPL002,1983-12-01,17.3117
NPL002,1984-01-01,16.7814
NPL002,1984-02-01,24.1602
NPL002,1984-03-01,28.955
NPL002,1984-04-01,63.4402
NPL002,1984-05-01,171.5052
NPL002,1984-06-01,330.1935
NPL002,1984-07-01,523.2363
NPL002,1984-08-01,311.1688
NPL002,1984-09-01,260.979
NPL002,1984-10-01,54.5227
NPL002,1984-11-01,10.8579
NPL002,1984-12-01,10.9957
NPL002,1985-01-01,14.2295
NPL002,1985-02-01,23.3685
NPL002,1985-03-01,34.2183
NPL002,1985-04-01,74.5639
NPL002,1985-05-01,196.0171
NPL002,1985-06-01,293.4457
NPL002,1985-07-01,727.1092
NPL002,1985-08-01,292.8864
NPL002,1985-09-01,239.7012
NPL002,1985-10-01,161.4105
NPL002,1985-11-01,21.2938
NPL002,1985-12-01,27.2591
NPL002,1986-01-01,4.4248
NPL002,1986-02-01,13.2082
NPL002,1986-03-01,31.4449
NPL002,1986-04-01,115.4643
NPL002,1986-05-01,106.5913
NPL002,1986-06-01,220.0061
NPL002,1986-07-01,444.1359
NPL002,1986-08-01,290.8666
NPL002,1986-09-01,344.3256
NPL002,1986-10-01,74.3218
NPL002,1986-11-01,19.4055
NPL002,1986-12-01,17.7417
NPL002,1987-01-01,20.802
NPL002,1987-02-01,19.2304
NPL002,1987-03-01,136.2125
NPL002,1987-04-01,111.9992
NPL002,1987-05-01,208.0307
NPL002,1987-06-01,455.4287
NPL002,1987-07-01,342.7021
NPL002,1987-08-01,492.2983
NPL002,1987-09-01,243.0727
NPL002,1987-10-01,220.6248
NPL002,1987-11-01,9.4167
NPL002,1987-12-01,9.1485
NPL002,1988-01-01,15.4948
NPL002,1988-02-01,20.9975
NPL002,1988-03-01,35.2268
NPL002,1988-04-01,94.8292
NPL002,1988-05-01,150.5105
NPL002,1988-06-01,242.3131
NPL002,1988-07-01,482.3987
NPL002,1988-08-01,430.4486
NPL002,1988-09-01,224.7112
NPL002,1988-10-01,42.8336
NPL002,1988-11-01,17.0867
NPL002,1988-12-01,24.6607
NPL002,1989-01-01,27.4655
NPL002,1989-02-01,25.2534
NPL002,1989-03-01,70.2816
NPL002,1989-04-01,20.9695
NPL002,1989-05-01,244.3528
NPL002,1989-06-01,369.5756
NPL002,1989-07-01,646.0721
NPL002,1989-08-01,262.5667
NPL002,1989-09-01,442.8092
NPL002,1989-10-01,48.634
NPL002,1989-11-01,21.6249
NPL002,1989-12-01,10.0747
NPL002,1990-01-01,20.006
NPL002,1990-02-01,44.2879
NPL002,1990-03-01,62.3316
NPL002,1990-04-01,88.5612
NPL002,1990-05-01,163.0637
NPL002,1990-06-01,324.951
NPL002,1990-07-01,402.0936
NPL002,1990-08-01,412.1526
NPL002,1990-09-01,328.5634
NPL002,1990-10-01,75.3939
NPL002,1990-11-01,3.5374
NPL002,1990-12-01,20.7424
NPL002,1991-01-01,35.6056
NPL002,1991-02-01,16.4927
NPL002,1991-03-01,62.9378
NPL002,1991-04-01,62.2958
NPL002,1991-05-01,135.0323
NPL002,1991-06-01,507.5922
NPL002,1991-07-01,268.4087
NPL002,1991-08-01,378.0862
NPL002,1991-09-01,260.4497
NPL002,1991-10-01,37.6715
NPL002,1991-11-01,13.182
NPL002,1991-12-01,17.3602
NPL002,1992-01-01,24.7171
NPL002,1992-02-01,26.1358
NPL002,1992-03-01,13.7297
NPL002,1992-04-01,59.9214
NPL002,1992-05-01,144.5578
NPL002,1992-06-01,181.6745
NPL002,1992-07-01,487.2584
NPL002,1992-08-01,533.7757
NPL002,1992-09-01,422.2058
NPL002,1992-10-01,88.4539
NPL002,1992-11-01,13.2215
NPL002,1992-12-01,16.8731
NPL002,1993-01-01,54.9209
NPL002,1993-02-01,42.7664
NPL002,1993-03-01,33.4396
NPL002,1993-04-01,135.1343
NPL002,1993-05-01,194.1515
NPL002,1993-06-01,256.0496
NPL002,1993-07-01,315.6821
NPL002,1993-08-01,430.5353
NPL002,1993-09-01,205.3613
NPL002,1993-10-01,37.9244
NPL002,1993-11-01,33.5374
NPL002,1993-12-01,8.0234
NPL002,1994-01-01,40.3434
NPL002,1994-02-01,51.6997
NPL002,1994-03-01,87.4524
NPL002,1994-04-01,120.2856
NPL002,1994-05-01,96.135
NPL002,1994-06-01,297.9816
NPL002,1994-07-01,220.1105
NPL002,1994-08-01,406.9511
NPL002,1994-09-01,215.0417
NPL002,1994-10-01,25.7279
NPL002,1994-11-01,21.8358
NPL002,1994-12-01,7.7331
NPL002,1995-01-01,29.5662
NPL002,1995-02-01,33.2643
NPL002,1995-03-01,45.7075
NPL002,1995-04-01,56.79
NPL002,1995-05-01,140.824
NPL002,1995-06-01,450.4674
NPL002,1995-07-01,326.8862
NPL002,1995-08-01,444.7585
NPL002,1995-09-01,272.6448
NPL002,1995-10-01,22.3663
NPL002,1995-11-01,111.2067
NPL002,1995-12-01,20.7995
NPL002,1996-01-01,52.9044
NPL002,1996-02-01,31.8096
NPL002,1996-03-01,75.894
NPL002,1996-04-01,44.873
NPL002,1996-05-01,170.3107
NPL002,1996-06-01,271.3128
NPL002,1996-07-01,427.8495
NPL002,1996-08-01,376.7718
NPL002,1996-09-01,143.0996
NPL002,1996-10-01,101.6008
NPL002,1996-11-01,14.1537
NPL002,1996-12-01,9.9363
NPL002,1997-01-01,31.4124
NPL002,1997-02-01,33.7575
NPL002,1997-03-01,40.8114
NPL002,1997-04-01,159.7446
NPL002,1997-05-01,92.3281
NPL002,1997-06-01,377.2028
NPL002,1997-07-01,391.1718
NPL002,1997-08-01,447.938
NPL002,1997-09-01,197.4672
NPL002,1997-10-01,30.2155
NPL002,1997-11-01,29.0221
NPL002,1997-12-01,53.1651
NPL002,1998-01-01,13.1959
NPL002,1998-02-01,16.8431
NPL002,1998-03-01,134.6797
NPL002,1998-04-01,116.297
NPL002,1998-05-01,204.9135
NPL002,1998-06-01,378.2108
NPL002,1998-07-01,387.7532
NPL002,1998-08-01,472.6164
NPL002,1998-09-01,368.3478
NPL002,1998-10-01,49.2855
NPL002,1998-11-01,14.0796
NPL002,1998-12-01,4.629
NPL002,1999-01-01,4.6576
NPL002,1999-02-01,5.7116
NPL002,1999-03-01,13.3537
NPL002,1999-04-01,76.6288
NPL002,1999-05-01,244.5558
NPL002,1999-06-01,356.1195
NPL002,1999-07-01,442.9405
NPL002,1999-08-01,324.2566
NPL002,1999-09-01,241.768
NPL002,1999-10-01,251.8573
NPL002,1999-11-01,13.009
NPL002,1999-12-01,10.9846
NPL002,2000-01-01,18.9661
NPL002,2000-02-01,22.8364
NPL002,2000-03-01,29.9609
NPL002,2000-04-01,143.8678
NPL002,2000-05-01,233.0953
NPL002,2000-06-01,282.3161
NPL002,2000-07-01,268.537
NPL002,2000-08-01,356.3345
NPL002,2000-09-01,274.8457
NPL002,2000-10-01,46.0445
NPL002,2000-11-01,28.1574
NPL002,2000-12-01,8.033
NPL002,2001-01-01,8.172
NPL002,2001-02-01,35.1279
NPL002,2001-03-01,36.742
NPL002,2001-04-01,225.1684
NPL002,2001-05-01,261.4246
NPL002,2001-06-01,231.1604
NPL002,2001-07-01,317.9001
NPL002,2001-08-01,316.1634
NPL002,2001-09-01,243.7006
NPL002,2001-10-01,211.48
NPL002,2001-11-01,21.1484
NPL002,2001-12-01,8.7659
NPL002,2002-01-01,36.256
NPL002,2002-02-01,20.2803
