fiscal_year,base_year,sr_no,group_code,cmdty_code,description,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fy_avg_index
2015-2016,2007-08,78,06,71,Medical Tests,178.44,179.13,179.27,180.37,180.65,180.72,181.17,185.26,187.5,187.54,187.44,187.65,182.93
2015-2016,2007-08,79,07,00,Transport,178.62,178.02,175.6,175.8,177.09,177.69,177.96,174.05,168.25,169.33,169.31,169.34,174.26
2015-2016,2007-08,80,07,72,Motor Vehicles,163.28,163.39,163.02,163.02,163.03,163.01,165.35,165.19,165.19,165.22,165.23,165.17,164.18
2015-2016,2007-08,81,07,73,Motor Vehicle Accessories,226.83,226.83,226.83,227.21,227.45,227.45,227.78,220.92,220.51,216.66,215.24,213.88,223.13
2015-2016,2007-08,82,07,74,Motor Fuel,154.54,153.01,147.25,147.5,150.43,150.77,150.56,144.21,133.68,135.46,135.44,135.58,144.87
2015-2016,2007-08,83,07,75,Mechanical Service,216.37,216.92,217.59,218.85,219.41,221.05,222.39,222.8,223.78,223.78,224.39,224.68,221
2015-2016,2007-08,84,07,76,Motor Vehicle Tax,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18
2015-2016,2007-08,85,07,77,Transport Services,197.35,197.35,197.35,197.35,197.38,198.32,198.46,195.73,191.93,193.15,193.15,193.15,195.89
2015-2016,2007-08,86,08,00,Communication,130.35,130.36,130.36,130.36,130.39,130.56,130.61,130.57,130.74,130.77,130.77,130.85,130.56
2015-2016,2007-08,87,08,78,Postal Services,229.42,229.93,229.93,229.93,229.93,234.78,235.86,235.86,237.9,238.97,239.1,239.48,234.26
2015-2016,2007-08,88,08,79,Communication & Apparatus,128.27,128.27,128.27,128.27,128.31,128.38,128.4,128.36,128.49,128.5,128.49,128.57,128.38
2015-2016,2007-08,89,09,00,Recreation and culture,193.01,193.03,193.41,193.55,193.66,193.66,193.8,194.38,194.71,195.68,195.79,195.7,194.2
2015-2016,2007-08,90,09,80,Recreation & Culture,128.25,128.25,128.25,128.26,128.29,128.29,128.53,128.58,128.83,129.09,129.15,128.89,128.56
2015-2016,2007-08,91,09,81,Text Books,290.62,290.62,290.62,290.62,290.62,290.62,290.62,290.62,290.62,292.33,292.41,292.41,291.06
2015-2016,2007-08,92,09,82,Newspapers,175.42,175.42,175.42,175.42,175.42,175.42,175.42,175.49,175.49,175.49,175.49,175.49,175.45
2015-2016,2007-08,93,09,83,Stationery,202.14,202.25,204.23,204.88,205.39,205.42,205.59,208.44,209.56,211.49,211.82,211.89,206.93
2015-2016,2007-08,94,10,00,Education,209.17,209.23,209.22,209.25,209.25,209.31,209.36,210.15,210.99,221.48,224.19,224.6,213.02
2015-2016,2007-08,95,10,84,Education,209.17,209.23,209.22,209.25,209.25,209.31,209.36,210.15,210.99,221.48,224.19,224.6,213.02
2015-2016,2007-08,96,11,00,Restaurants and hotels,249.7,250.26,251.29,253.3,254.36,255.77,257.11,259.39,261.8,261.89,263.16,263.41,256.79
2015-2016,2007-08,97,11,85,Readymade Food,249.7,250.26,251.29,253.3,254.36,255.77,257.11,259.39,261.8,261.89,263.16,263.41,256.79
2015-2016,2007-08,98,12,00,Misc. goods and services,223.13,223.88,224.64,225.79,225.02,226.28,227.33,230.15,232.55,232.97,233.52,233.42,228.22
2015-2016,2007-08,99,12,86,Personal Care,207.3,208.36,209.07,209.29,209.48,210.48,211.12,212.55,213.45,213.72,214.76,215.09,211.22
2015-2016,2007-08,100,12,87,Cosmetics,191.12,191.82,192.7,193.11,193.11,196.47,196.94,197.67,198.43,199.01,199.04,199.77,195.77
2015-2016,2007-08,101,12,88,Blades,187.44,188.25,190.75,190.75,190.75,194.65,194.65,195.05,195.05,195.05,195.16,195.16,192.73
2015-2016,2007-08,102,12,89,Personal Equipments,267.12,267.34,268.09,271.23,268.39,269.04,271.14,277.46,283.36,284,283.91,282.68,274.48
2016-2017,2007-08,1,00,00,General,210.08,209.46,209.88,211.57,212.01,210.57,210.94,211.54,213.32,216.3,216.33,215.45,212.29
2016-2017,2007-08,2,01,00,Food and non-alcoholic Beverages,228.36,225.91,226.3,228.3,228.74,223.58,220.96,221.66,226.16,230.25,229.65,229.18,226.59
2016-2017,2007-08,3,01,01,Wheat,190.81,193.5,194.03,202.6,203.78,205.54,206.77,207.84,208.99,203.46,192.57,192.58,200.21
2016-2017,2007-08,4,01,02,Wheat Flour,208.98,209.16,209.04,211.25,212.3,213.35,213.27,213.15,213.15,211.07,208.05,206.83,210.8
2016-2017,2007-08,5,01,03,Wheat Product,214.98,215.54,216.37,217.29,217.35,217.16,217.11,216.39,216.57,216.66,216.02,214.38,216.32
2016-2017,2007-08,6,01,04,Besan,322.68,327.65,315.81,327.42,346.57,350.39,342.04,310.18,296.24,296.79,297.62,285.65,318.25
