fiscal_year,base_year,group_code,cmdty_code,description,fy_avg_index
2016-2017,2007-08,07,77,Transport Services,193.38
2017-2018,2007-08,07,77,Transport Services,196.64
2018-2019,2007-08,07,77,Transport Services,225.33
2015-2016,2007-08,08,00,Communication,130.56
2016-2017,2007-08,08,00,Communication,131.79
2017-2018,2007-08,08,00,Communication,133.26
2018-2019,2007-08,08,00,Communication,141.29
2015-2016,2007-08,08,78,Postal Services,234.26
2016-2017,2007-08,08,78,Postal Services,245.22
2017-2018,2007-08,08,78,Postal Services,257.97
2018-2019,2007-08,08,78,Postal Services,278.83
2015-2016,2007-08,08,79,Communication & Apparatus,128.38
2016-2017,2007-08,08,79,Communication & Apparatus,129.4
2017-2018,2007-08,08,79,Communication & Apparatus,130.65
2018-2019,2007-08,08,79,Communication & Apparatus,138.4
2015-2016,2007-08,09,00,Recreation and culture,194.2
2016-2017,2007-08,09,00,Recreation and culture,196.31
2017-2018,2007-08,09,00,Recreation and culture,200.24
2018-2019,2007-08,09,00,Recreation and culture,215.9
2015-2016,2007-08,09,80,Recreation & Culture,128.56
2016-2017,2007-08,09,80,Recreation & Culture,129.54
2017-2018,2007-08,09,80,Recreation & Culture,131.31
2018-2019,2007-08,09,80,Recreation & Culture,137.43
2015-2016,2007-08,09,81,Text Books,291.06
2016-2017,2007-08,09,81,Text Books,291.3
2017-2018,2007-08,09,81,Text Books,292.05
2018-2019,2007-08,09,81,Text Books,310.21
2015-2016,2007-08,09,82,Newspapers,175.45
2016-2017,2007-08,09,82,Newspapers,178.13
2017-2018,2007-08,09,82,Newspapers,190.34
2018-2019,2007-08,09,82,Newspapers,229.04
2015-2016,2007-08,09,83,Stationery,206.93
2016-2017,2007-08,09,83,Stationery,213.94
2017-2018,2007-08,09,83,Stationery,223.14
2018-2019,2007-08,09,83,Stationery,244.74
2015-2016,2007-08,10,00,Education,213.02
2016-2017,2007-08,10,00,Education,235.65
2017-2018,2007-08,10,00,Education,264.79
2018-2019,2007-08,10,00,Education,289.97
2015-2016,2007-08,10,84,Education,213.02
2016-2017,2007-08,10,84,Education,235.65
2017-2018,2007-08,10,84,Education,264.79
2018-2019,2007-08,10,84,Education,289.97
2015-2016,2007-08,11,00,Restaurants and hotels,256.79
2016-2017,2007-08,11,00,Restaurants and hotels,269.92
2017-2018,2007-08,11,00,Restaurants and hotels,285.88
2018-2019,2007-08,11,00,Restaurants and hotels,302.04
2015-2016,2007-08,11,85,Readymade Food,256.79
2016-2017,2007-08,11,85,Readymade Food,269.92
2017-2018,2007-08,11,85,Readymade Food,285.88
2018-2019,2007-08,11,85,Readymade Food,302.04
2015-2016,2007-08,12,00,Misc. goods and services,228.22
2016-2017,2007-08,12,00,Misc. goods and services,240.23
2017-2018,2007-08,12,00,Misc. goods and services,254.99
2018-2019,2007-08,12,00,Misc. goods and services,276.48
2015-2016,2007-08,12,86,Personal Care,211.22
2016-2017,2007-08,12,86,Personal Care,221
2017-2018,2007-08,12,86,Personal Care,233.33
2018-2019,2007-08,12,86,Personal Care,247.18
2015-2016,2007-08,12,87,Cosmetics,195.77
2016-2017,2007-08,12,87,Cosmetics,202.17
2017-2018,2007-08,12,87,Cosmetics,210.56
2018-2019,2007-08,12,87,Cosmetics,232.2
2015-2016,2007-08,12,88,Blades,192.73
2016-2017,2007-08,12,88,Blades,196.1
