country,iso2c,iso3c,year,SP.POP.TOTL,SP.POP.GROW,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.URB.TOTL.IN.ZS,SP.POP.DPND,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.DYN.IMRT.IN,SH.DYN.MORT
Pakistan,PK,PAK,2011,203746065,2.23690940334662,33.045,7.575,64.659,4.305,35.202,75.0100380395422,39.1356717469259,3.72474850919145,71.6,84.9
Pakistan,PK,PAK,2012,207667125,1.90619981284679,32.48,7.482,64.883,4.204,35.408,74.7398435909083,39.0113777975483,3.76068938152991,69.8,82.7
Pakistan,PK,PAK,2013,211073978,1.62722414834854,31.902,7.377,65.129,4.125,35.613,74.6202486526627,38.9429265910198,3.78994632917293,67.9,80.4
Pakistan,PK,PAK,2014,214264647,1.50032405388564,31.303,7.272,65.374,4.055,35.819,74.4256172449709,38.8636272293292,3.80534429416474,66,78
Pakistan,PK,PAK,2015,217290883,1.40250113589189,30.697,7.164,65.641,3.988,36.026,74.161810917677,38.7612117135196,3.82091940742152,64.1,75.6
Pakistan,PK,PAK,2016,220138869,1.30216393815952,29.956,7.039,65.943,3.902,36.234,73.9138783908976,38.6498575102833,3.85041862791259,62.2,73.3
Pakistan,PK,PAK,2017,223273967,1.41409990353131,29.738,6.94,66.223,3.9,36.442,73.5768238017572,38.4997568066237,3.88886536895529,60.3,71
Pakistan,PK,PAK,2018,226928892,1.62371483290292,29.343,6.852,66.481,3.855,36.666,73.1024168008764,38.2979161633197,3.93281543027845,58.5,68.8
Pakistan,PK,PAK,2019,230800899,1.69187124669657,28.986,6.772,66.729,3.81,36.907,72.6314584931864,38.0886554477603,3.98447495645256,56.8,66.7
Pakistan,PK,PAK,2020,235001746,1.80375141301202,28.625,7.301,65.701,3.765,37.165,72.0651682830605,37.8598272201773,4.02265777208311,55.1,64.6
Pakistan,PK,PAK,2021,239477801,1.8867779716011,28.384,7.23,65.773,3.72,37.44,71.3439501303533,37.5856838554854,4.05217393000066,53.4,62.5
Pakistan,PK,PAK,2022,243700667,1.74799739792983,28.13,6.513,67.417,3.662,37.731,70.7109794452284,37.3097827836474,4.11167709278366,51.8,60.5
Pakistan,PK,PAK,2023,247504495,1.54880458608849,27.806,6.466,67.649,3.605,38.04,70.1673862519405,37.0380613955353,4.19627145721884,50.1,58.5
Pakistan,PK,PAK,2024,251269164,1.50959876314033,NA,NA,NA,NA,38.365,69.3926431439163,36.6849298308646,4.28062891951199,NA,NA
