province,district,mpi,mpi_lo,mpi_hi,h_incidence,h_lo,h_hi,a_intensity,a_lo,a_hi,pop_share,n_poor_thousands
Punjab,Pakpattan,0.10581,0.08749,0.12413,24.5475,20.3565,28.7385,43.104,42.1571,44.0509,0.8493681,478
Punjab,Rahim Yar Khan,0.20041,0.17194,0.22888,42.2488,36.7491,47.7485,47.4357,46.3029,48.5685,2.526359,2449
Punjab,Rajanpur,0.3212,0.26072,0.38167,62.683,52.8737,72.4923,51.2417,48.4914,53.9919,1.025873,1476
Punjab,Rawalpindi,0.01798,0.01271,0.02324,4.22301,3.05481,5.39122,42.5671,40.9591,44.1751,2.577166,250
Punjab,Sahiwal,0.08236,0.06091,0.10381,18.6653,14.0296,23.301,44.1235,42.888,45.359,1.157372,496
Punjab,Sargodha,0.05872,0.04553,0.0719,13.8299,10.8394,16.8204,42.4557,41.509,43.4024,1.773142,563
Punjab,Sheikhupura,0.05361,0.04151,0.06572,12.6104,10.0345,15.1864,42.5155,41.0226,44.0083,1.648355,477
Punjab,Sialkot,0.019,0.0138,0.02421,4.76541,3.46996,6.06086,39.8789,38.4693,41.2885,1.982146,217
Punjab,T.T. Singh,0.05438,0.03885,0.06991,12.7817,9.35831,16.2052,42.5446,41.0097,44.0796,0.9268002,272
Punjab,Vehari,0.13382,0.0985,0.16915,30.7387,23.0329,38.4444,43.5357,42.5231,44.5483,1.497355,1056
Sindh,Badin,0.40083,0.32582,0.47584,74.2947,61.8612,86.7282,53.9517,51.9247,55.9787,0.9260895,1579
Sindh,Dadu,0.20664,0.14919,0.26409,45.9628,34.5544,57.3713,44.9585,42.8298,47.0871,0.808983,853
Sindh,Ghotki,0.30728,0.26356,0.351,62.4949,54.3279,70.6618,49.1683,47.6952,50.6415,0.8099326,1162
Sindh,Hyderabad,0.09246,0.05849,0.12644,20.4835,13.4417,27.5254,45.1406,42.9888,47.2925,1.110895,522
Sindh,Jacobabad,0.27364,0.21897,0.32831,57.9338,47.2217,68.6459,47.2329,45.9249,48.541,0.3448845,459
Sindh,Jamshoro,0.24762,0.1423,0.35294,49.5473,30.104,68.9907,49.976,47.3431,52.609,0.2600324,296
Sindh,Karachi Central,0.02192,0.01465,0.02919,5.61985,3.82523,7.41446,39.0102,37.1959,40.8246,1.632176,210
